run_id,run_start_date,unit_label,synthetic_regime,season_sin,season_cos,drift,latent_feature_1_level,latent_feature_4_1_level,latent_feature_8_level,latent_feature_9_level,target_metric_primary,target_percent,contrib_persistent_moisture,contrib_persistent_feature_13,contrib_persistent_treatment,contrib_persistent_external,contrib_regime_specific,contrib_random_instability
RUN_032,2025-04-09,GR02,regime_a,0.99863,-0.052336,0.260504,68.95602,61.28614,910.33916,0.66964,0.03722,3.722,-0.50254,0.02589,-0.04495,-1.20866,1.09902,-0.14226
RUN_033,2025-04-12,GR03,regime_a,0.994522,-0.104528,0.268908,63.90957,55.94098,921.14783,0.70967,0.0278,2.78,-0.5108,0.03596,-0.1749,-1.02517,-0.06646,0.15727
RUN_034,2025-04-15,GR04,regime_a,0.987688,-0.156434,0.277311,67.07494,58.90019,903.83367,0.63974,0.04024,4.024,-0.60491,-0.12994,0.04645,-1.0149,0.71146,0.40393
RUN_035,2025-04-18,GR05,regime_a,0.978148,-0.207912,0.285714,71.06808,62.13522,882.11358,0.62183,0.02878,2.878,-0.27,-0.04056,-0.06413,-1.08092,0.70369,-0.36045
RUN_036,2025-04-21,GR06,regime_a,0.965926,-0.258819,0.294118,68.05004,60.29344,837.27067,0.67276,0.04146,4.146,-0.23514,-0.17746,0.01999,-0.95676,0.40823,0.82712
RUN_037,2025-04-24,GR01,regime_a,0.951057,-0.309017,0.302521,65.55342,59.98541,842.06821,0.69054,0.03971,3.971,-0.01238,0.05055,-0.07364,-1.1558,0.2866,0.8962
RUN_038,2025-04-27,GR02,regime_a,0.93358,-0.358368,0.310924,70.25627,62.50987,895.97842,0.66193,0.02591,2.591,-0.39717,0.01603,-0.0172,-0.90503,0.60163,-0.89703
RUN_039,2025-04-30,GR03,regime_b,0.913545,-0.406737,0.319328,68.15914,57.71399,941.91152,0.68218,0.00073,0.073,-0.90162,-0.0644,-0.21209,-1.4174,-0.81532,-0.57738
RUN_040,2025-05-03,GR04,regime_b,0.891007,-0.45399,0.327731,66.69148,61.05385,972.45882,0.75193,0.02475,2.475,-0.07754,-0.01408,-0.09595,-1.23845,-0.44156,0.20862
RUN_041,2025-05-06,GR05,regime_b,0.866025,-0.5,0.336134,68.77531,60.58431,951.87109,0.63063,0.0,0.0,-1.12461,0.01531,-0.05118,-1.36083,-0.71352,-0.71632
RUN_042,2025-05-09,GR06,regime_b,0.838671,-0.544639,0.344538,67.09547,63.60767,892.6809,0.63548,0.0,0.0,-1.66033,-0.04561,-0.06427,-1.60142,-1.39806,0.18989
RUN_043,2025-05-12,GR01,regime_b,0.809017,-0.587785,0.352941,65.1602,58.40765,917.59915,0.54486,0.0,0.0,-0.58347,-0.21476,0.01419,-1.38928,-0.96362,-0.80631
RUN_044,2025-05-15,GR02,regime_b,0.777146,-0.62932,0.361345,67.84324,58.68505,914.51165,0.68257,0.01656,1.656,-0.23487,-0.05084,-0.07087,-1.26394,-0.83406,0.01727
RUN_045,2025-05-18,GR03,regime_b,0.743145,-0.669131,0.369748,65.8509,59.04624,963.10066,0.67792,0.01929,1.929,-0.18139,-0.16761,-0.08679,-1.36761,-0.65374,0.78464
RUN_046,2025-05-21,GR04,regime_b,0.707107,-0.707107,0.378151,63.475,59.48448,971.86209,0.64788,0.0,0.0,-2.85658,-0.06525,-0.21369,-1.14466,-0.38433,-0.28113
RUN_047,2025-05-24,GR05,regime_b,0.669131,-0.743145,0.386555,65.6212,65.71966,902.42158,0.6857,0.00814,0.814,-0.51315,-0.00908,-0.20382,-1.33718,-1.01681,0.26214
RUN_048,2025-05-27,GR06,regime_b,0.62932,-0.777146,0.394958,66.75157,59.61471,764.17283,0.59968,0.0,0.0,-1.64351,-0.03528,-0.01508,-1.22404,-2.76129,0.07919
RUN_049,2025-05-30,GR01,regime_b,0.587785,-0.809017,0.403361,70.48397,58.03927,798.90508,0.59431,0.0,0.0,-0.96395,-0.04473,-0.06015,-1.34508,-2.28849,-0.76007
RUN_050,2025-06-02,GR02,regime_b,0.544639,-0.838671,0.411765,64.39882,57.75503,847.28789,0.63076,0.01358,1.358,-0.42299,-0.12362,0.00241,-1.14936,-1.39301,0.75976
RUN_051,2025-06-05,GR03,regime_b,0.5,-0.866025,0.420168,66.0519,59.64011,812.3227,0.63721,0.01299,1.299,-0.03967,-0.12909,-0.0179,-0.88895,-1.59534,0.21707
RUN_052,2025-06-08,GR04,regime_b,0.45399,-0.891007,0.428571,65.39536,60.75705,878.07679,0.65903,0.00146,0.146,-0.94345,-0.09138,-0.05399,-1.15957,-1.05382,-0.39449
RUN_053,2025-06-11,GR05,regime_b,0.406737,-0.913545,0.436975,64.24611,61.47733,802.9371,0.5937,0.0,0.0,-1.27536,-0.08597,0.01359,-1.25739,-2.12656,-0.0518
RUN_054,2025-06-14,GR06,regime_b,0.358368,-0.93358,0.445378,64.46988,60.73685,866.30652,0.64468,0.00172,0.172,-0.15,-0.03395,-0.08451,-1.30349,-1.33988,-0.45502
RUN_055,2025-06-17,GR01,regime_b,0.309017,-0.951057,0.453782,69.35655,61.23838,772.57892,0.57837,0.0,0.0,-0.6049,-0.07145,-0.03777,-1.06812,-2.41739,0.08275
RUN_056,2025-06-20,GR02,regime_b,0.258819,-0.965926,0.462185,67.46582,56.47798,829.24148,0.59151,0.0,0.0,-0.95614,-0.11088,-0.10557,-0.97806,-1.42673,-0.19655
RUN_057,2025-06-23,GR03,regime_b,0.207912,-0.978148,0.470588,65.2301,60.56238,888.1634,0.57325,0.00882,0.882,-0.01364,-0.219,-0.11256,-1.14341,-0.92749,-0.30504
RUN_058,2025-06-26,GR04,regime_b,0.156434,-0.987688,0.478992,65.3336,60.78438,779.12151,0.54351,0.01033,1.033,-0.05016,-0.09141,0.07713,-1.01672,-2.21942,0.80891
RUN_059,2025-06-29,GR05,regime_b,0.104528,-0.994522,0.487395,62.03863,58.3538,779.46554,0.60895,0.0,0.0,-0.00022,0.00951,-0.11758,-0.91072,-2.14273,-0.73612
RUN_060,2025-07-02,GR06,regime_b,0.052336,-0.99863,0.495798,65.74589,60.70728,832.26637,0.52989,0.0214,2.14,-0.10849,-0.02923,-0.06592,-1.22099,-1.63045,1.76878
RUN_061,2025-07-05,GR01,regime_b,0.0,-1.0,0.504202,69.67891,61.37704,753.96658,0.58787,0.00226,0.226,-0.01868,-0.00897,0.07502,-0.85143,-2.53168,0.19683
RUN_062,2025-07-08,GR02,regime_b,-0.052336,-0.99863,0.512605,62.45938,61.09957,674.29586,0.611,0.0,0.0,-0.06476,-0.21374,-0.05124,-1.08039,-4.59908,-0.05348
RUN_063,2025-07-11,GR03,regime_b,-0.104528,-0.994522,0.521008,65.30166,57.55206,773.06071,0.4916,0.0,0.0,-0.60782,-0.15836,-0.13908,-0.90763,-2.16478,0.08978
RUN_064,2025-07-14,GR04,regime_b,-0.156434,-0.987688,0.529412,65.84906,57.45249,779.48465,0.5342,0.0,0.0,-3.63534,-0.13624,-0.084,-1.17215,-2.37917,0.36079
RUN_065,2025-07-17,GR05,regime_b,-0.207912,-0.978148,0.537815,63.31562,58.80782,853.27833,0.51005,0.00935,0.935,-0.02801,-0.11752,-0.08906,-1.05856,-1.18402,0.15048
RUN_066,2025-07-20,GR06,regime_b,-0.258819,-0.965926,0.546218,62.70324,57.78064,835.61005,0.46405,0.0,0.0,-1.89576,-0.28022,-0.2262,-0.92215,-1.22948,-1.41161
RUN_067,2025-07-23,GR01,regime_b,-0.309017,-0.951057,0.554622,65.65308,58.13282,823.80852,0.54068,0.0128,1.28,-0.08113,-0.04797,0.00414,-1.0407,-1.54918,0.83132
RUN_068,2025-07-26,GR02,regime_b,-0.358368,-0.93358,0.563025,61.76117,63.04153,883.00466,0.53253,0.00535,0.535,-0.38216,-0.21079,0.03336,-1.11893,-0.9449,-0.44863
RUN_069,2025-07-29,GR03,regime_b,-0.406737,-0.913545,0.571429,63.67944,55.9128,894.98499,0.5022,0.0102,1.02,-1.21285,-0.19666,-0.12021,-1.02284,-0.73001,0.94934
RUN_070,2025-08-01,GR04,regime_b,-0.45399,-0.891007,0.579832,66.52774,59.39426,833.68515,0.49023,0.0,0.0,-2.58201,-0.07338,-0.08203,-0.69692,-1.01384,-0.20559
RUN_071,2025-08-04,GR05,regime_b,-0.5,-0.866025,0.588235,64.37039,57.57058,833.5768,0.50604,0.0,0.0,-2.25577,-0.12676,-0.17376,-0.95356,-1.30665,-0.20901
RUN_072,2025-08-07,GR06,regime_b,-0.544639,-0.838671,0.596639,64.00984,63.64816,870.13418,0.49971,0.0,0.0,-1.14275,0.02604,0.03011,-0.70273,-0.60379,-1.5492
RUN_073,2025-08-10,GR01,regime_b,-0.587785,-0.809017,0.605042,64.75097,60.06577,849.63796,0.40689,0.0023,0.23,-1.39287,-0.07477,-0.02765,-0.63497,-0.72472,-0.31186
RUN_074,2025-08-13,GR02,regime_b,-0.62932,-0.777146,0.613445,65.33088,59.72139,923.82458,0.42043,0.01264,1.264,-0.27868,-0.19225,0.00094,-0.78088,-0.2639,-0.52309
RUN_075,2025-08-16,GR03,regime_b,-0.669131,-0.743145,0.621849,63.85572,57.94129,858.90958,0.43982,0.0,0.0,-3.54388,-0.08998,-0.03858,-0.60668,-0.60122,-0.74088
RUN_076,2025-08-19,GR04,regime_b,-0.707107,-0.707107,0.630252,63.40896,58.16422,933.13934,0.46603,0.01877,1.877,-0.993,-0.02978,-0.02012,-0.8722,-0.30673,0.72032
RUN_077,2025-08-22,GR05,regime_b,-0.743145,-0.669131,0.638655,64.98363,58.17232,807.01654,0.52144,0.0,0.0,-1.58217,0.05227,-0.19286,-0.77518,-1.48707,0.49589
RUN_078,2025-08-25,GR06,regime_b,-0.777146,-0.62932,0.647059,66.72494,58.42601,962.38511,0.40039,0.00477,0.477,-2.74782,-0.07322,-0.06352,-0.61156,0.08003,0.3526
RUN_079,2025-08-28,GR01,regime_c,-0.809017,-0.587785,0.655462,64.38675,57.56622,762.81936,0.43991,0.0,0.0,-3.5398,0.10469,0.09138,-0.49684,-0.18446,-0.22602
RUN_080,2025-08-31,GR02,regime_c,-0.838671,-0.544639,0.663866,61.14738,59.37106,721.24723,0.46296,0.01259,1.259,-1.53242,-0.15337,0.02049,-0.54559,-0.50603,0.17846
RUN_081,2025-09-03,GR03,regime_c,-0.866025,-0.5,0.672269,62.96969,58.69737,821.86234,0.50171,0.01721,1.721,-1.66918,0.0549,-0.04355,-0.24685,-0.32499,0.38694
RUN_082,2025-09-06,GR04,regime_c,-0.891007,-0.45399,0.680672,60.0827,60.46997,828.43864,0.48867,0.0,0.0,-3.47034,-0.05263,0.06641,-0.26536,-0.08618,-0.55506
RUN_083,2025-09-09,GR05,regime_c,-0.913545,-0.406737,0.689076,64.52179,59.91428,850.30831,0.45586,0.02124,2.124,-1.41449,-0.02419,0.15633,-0.31093,-0.05707,0.05689
RUN_084,2025-09-12,GR06,regime_c,-0.93358,-0.358368,0.697479,62.32158,58.71512,901.99109,0.40179,0.01339,1.339,-1.5691,0.01522,-0.02087,-0.36221,-0.38239,-0.21773
RUN_085,2025-09-15,GR01,regime_c,-0.951057,-0.309017,0.705882,62.55594,57.44773,859.04972,0.45561,0.02054,2.054,-0.40549,-0.21347,0.01069,-0.49643,-0.28236,-0.23492
RUN_086,2025-09-18,GR02,regime_c,-0.965926,-0.258819,0.714286,60.32942,60.25896,845.15617,0.42002,0.02426,2.426,-0.42047,0.12005,0.10246,-0.37907,-0.48636,-0.10652
RUN_087,2025-09-21,GR03,regime_c,-0.978148,-0.207912,0.722689,63.42037,59.31576,862.25745,0.43454,0.0,0.0,-3.60879,0.02508,-0.0367,-0.51756,-0.58522,0.12068
RUN_088,2025-09-24,GR04,regime_c,-0.987688,-0.156434,0.731092,59.52278,58.34554,849.10038,0.46006,0.0,0.0,-4.67176,0.14923,0.06838,-0.09,-0.37871,-0.02757
RUN_089,2025-09-27,GR05,regime_c,-0.994522,-0.104528,0.739496,59.37366,58.71638,915.53873,0.42983,0.0276,2.76,-0.61787,0.16271,-0.02391,-0.11056,-0.41884,-0.13088
RUN_090,2025-09-30,GR06,regime_c,-0.99863,-0.052336,0.747899,63.29083,57.52463,906.88123,0.39947,0.0,0.0,-5.07913,0.02222,0.03739,-0.54685,-0.34463,0.1729
RUN_091,2025-10-03,GR01,regime_c,-1.0,-0.0,0.756303,64.74661,59.30665,906.83393,0.4611,0.02197,2.197,-1.71236,0.02981,0.02619,-0.49642,-0.35133,0.83823
RUN_092,2025-10-06,GR02,regime_c,-0.99863,0.052336,0.764706,63.284,60.0619,1006.89458,0.45413,0.03123,3.123,-1.00824,0.04177,-0.01161,-0.31184,-0.26995,0.52905
RUN_093,2025-10-09,GR03,regime_c,-0.994522,0.104528,0.773109,64.9201,58.05235,955.82136,0.39006,0.01591,1.591,-2.37948,0.17937,9e-05,-0.53764,-0.39524,0.7981
RUN_094,2025-10-12,GR04,regime_c,-0.987688,0.156434,0.781513,62.37818,57.34537,1012.54712,0.4043,0.0,0.0,-4.90661,0.20659,0.09579,-0.54436,-0.19948,-0.35955
RUN_095,2025-10-15,GR05,regime_c,-0.978148,0.207912,0.789916,65.01697,57.57247,948.31611,0.42131,0.02415,2.415,-0.01143,0.07128,-0.00319,-0.36614,-0.69806,-0.48551
RUN_096,2025-10-18,GR06,regime_c,-0.965926,0.258819,0.798319,61.80934,57.92874,898.20249,0.47219,0.0,0.0,-4.55612,0.11705,0.03379,-0.47791,-0.54504,1.08518
RUN_097,2025-10-21,GR01,regime_c,-0.951057,0.309017,0.806723,63.72449,63.46497,965.16905,0.4703,0.00685,0.685,-1.82312,-0.00025,-0.06623,-0.53016,-0.81844,-0.12605
RUN_098,2025-10-24,GR02,regime_c,-0.93358,0.358368,0.815126,64.66109,61.98994,973.79451,0.37909,0.02133,2.133,-1.67203,0.03376,0.08571,-0.37294,-0.17361,-0.10676
RUN_099,2025-10-27,GR03,regime_c,-0.913545,0.406737,0.823529,62.78062,65.01439,982.0654,0.43761,0.00042,0.042,-2.40082,0.05472,0.08571,-0.38009,-0.73855,-0.68587
RUN_100,2025-10-30,GR04,regime_c,-0.891007,0.45399,0.831933,65.25367,59.34922,1039.14709,0.41861,0.02854,2.854,-0.29967,0.10003,-0.00453,-0.43241,-0.43888,-0.32571
RUN_101,2025-11-02,GR05,regime_c,-0.866025,0.5,0.840336,61.66844,59.30696,1052.48317,0.47044,0.01945,1.945,-1.45904,0.23276,0.03673,-0.35639,-0.48317,-0.28771
RUN_102,2025-11-05,GR06,regime_c,-0.838671,0.544639,0.848739,68.18198,58.97263,1083.69527,0.47147,0.03127,3.127,-0.69978,0.22154,0.09929,-0.67656,-0.25369,0.01935
RUN_103,2025-11-08,GR01,regime_c,-0.809017,0.587785,0.857143,59.29447,62.7904,1092.04677,0.41,0.01588,1.588,-1.48288,0.17524,-0.05339,-0.37182,-0.5764,-0.13401
RUN_104,2025-11-11,GR02,regime_c,-0.777146,0.62932,0.865546,64.0934,62.99793,1015.6377,0.51086,0.03077,3.077,-0.53767,0.19297,0.04106,-0.54355,-0.45753,0.06711
RUN_105,2025-11-14,GR03,regime_c,-0.743145,0.669131,0.87395,66.37861,65.16887,1094.21696,0.41538,0.02522,2.522,-0.67962,0.27211,-0.00908,-0.34396,-0.93857,-0.03538
RUN_106,2025-11-17,GR04,regime_c,-0.707107,0.707107,0.882353,64.24749,60.9342,1112.41195,0.40327,0.01172,1.172,-2.53543,0.17344,-0.0049,-0.45897,-0.33027,-0.06888
RUN_107,2025-11-20,GR05,regime_c,-0.669131,0.743145,0.890756,66.48828,61.34282,1093.7293,0.4642,0.00502,0.502,-2.34712,0.20317,-0.02743,-0.66583,-0.51031,-0.17593
RUN_108,2025-11-23,GR06,regime_c,-0.62932,0.777146,0.89916,69.10425,61.66823,1175.47023,0.42811,0.0391,3.91,-0.65501,0.1965,0.09782,-0.52518,-0.24608,0.49933
RUN_109,2025-11-26,GR01,regime_c,-0.587785,0.809017,0.907563,61.27242,63.76459,1135.7641,0.46084,0.0213,2.13,-0.30452,0.15136,0.04858,-0.61942,-0.78242,-0.51125
RUN_110,2025-11-29,GR02,regime_c,-0.544639,0.838671,0.915966,67.24336,61.72246,1093.26499,0.49889,0.03877,3.877,-0.34852,0.26938,0.1061,-0.55845,-0.45436,0.26096
RUN_111,2025-12-02,GR03,regime_c,-0.5,0.866025,0.92437,70.18677,63.43214,1025.69075,0.48863,0.03744,3.744,-0.78287,0.23824,0.169,-0.56338,-0.08503,0.23431
RUN_112,2025-12-05,GR04,regime_c,-0.45399,0.891007,0.932773,73.27292,63.71337,1112.97104,0.48594,0.03367,3.367,-0.00413,0.392,0.09257,-0.71701,-0.52947,-0.34997
RUN_113,2025-12-08,GR05,regime_c,-0.406737,0.913545,0.941176,66.66247,65.31911,1130.44948,0.52732,0.01691,1.691,-1.26601,0.11849,-0.13472,-0.48511,-0.86641,-0.14681
RUN_114,2025-12-11,GR06,regime_c,-0.358368,0.93358,0.94958,70.1695,66.76277,1070.98277,0.47573,0.02403,2.403,-1.5773,0.11033,-0.01794,-0.58113,-0.62782,0.48995
RUN_115,2025-12-14,GR01,regime_c,-0.309017,0.951057,0.957983,73.94623,66.16824,1072.84427,0.50119,0.00088,0.088,-2.86762,0.23806,0.03782,-0.52881,-0.83142,0.02896
RUN_116,2025-12-17,GR02,regime_c,-0.258819,0.965926,0.966387,73.33325,64.72147,1174.39273,0.58166,0.03279,3.279,-0.81244,0.30218,-0.08879,-0.51893,-0.51427,0.44834
RUN_117,2025-12-20,GR03,regime_c,-0.207912,0.978148,0.97479,68.76467,66.97268,1034.67982,0.5395,0.02463,2.463,-0.54787,0.20616,-0.03624,-0.6231,-0.79346,-0.30507
RUN_118,2025-12-23,GR04,regime_c,-0.156434,0.987688,0.983193,69.7403,62.72262,1167.41228,0.49861,0.02367,2.367,-0.46708,0.26911,-0.036,-0.63087,-0.40908,-1.03933
RUN_119,2025-12-26,GR05,regime_c,-0.104528,0.994522,0.991597,68.80614,66.31875,1076.90751,0.59646,0.03332,3.332,-0.23367,0.42029,0.04788,-0.65792,-0.74275,0.20221
RUN_120,2025-12-29,GR06,regime_c,-0.052336,0.99863,1.0,66.65033,64.46331,1114.21433,0.48341,0.02361,2.361,-0.05789,0.26018,-0.03694,-1.03025,-0.47205,-0.53054
