source_run_id,source_run_start_date,source_run_end_date,source_unit_label,source_group_label,source_feature_12,source_feature_13,source_feature_14,source_feature_15,source_target_metric
RUN_065,2025-07-17,2025-07-31,GR05,group_1,0.61959,5.96174,cat_b,type_y,0.00935
RUN_066,2025-07-20,2025-08-03,GR06,group_3,0.58053,5.77032,cat_a,type_y,0.0
RUN_067,2025-07-23,2025-08-06,GR01,group_3,0.6158,6.04357,cat_b,type_x,0.0128
RUN_068,2025-07-26,2025-08-09,GR02,group_1,0.60503,5.85201,cat_a,type_y,0.00535
RUN_069,2025-07-29,2025-08-12,GR03,group_1,0.58943,5.86864,cat_b,type_x,0.0102
RUN_070,2025-08-01,2025-08-15,GR04,group_3,0.5731,6.01367,cat_c,type_z,0.0
RUN_071,2025-08-04,2025-08-18,GR05,group_2,0.57649,5.95087,cat_a,type_z,0.0
RUN_072,2025-08-07,2025-08-21,GR06,group_1,0.59047,6.13063,cat_c,type_z,0.0
RUN_073,2025-08-10,2025-08-24,GR01,group_1,0.58688,6.01204,cat_a,type_y,0.0023
RUN_074,2025-08-13,2025-08-27,GR02,group_2,0.60795,5.87383,cat_c,type_y,0.01264
RUN_075,2025-08-16,2025-08-30,GR03,group_2,0.5642,5.99415,cat_b,type_z,0.0
RUN_076,2025-08-19,2025-09-02,GR04,group_2,0.59282,6.06497,cat_c,type_x,0.01877
RUN_077,2025-08-22,2025-09-05,GR05,group_3,0.58438,6.1615,cat_c,type_y,0.0
RUN_078,2025-08-25,2025-09-08,GR06,group_3,0.57146,6.01385,cat_b,type_y,0.00477
RUN_079,2025-08-28,2025-09-11,GR01,group_1,0.56424,6.22317,cat_b,type_x,0.0
RUN_080,2025-08-31,2025-09-14,GR02,group_2,0.58502,5.91956,cat_a,type_x,0.01259
RUN_081,2025-09-03,2025-09-17,GR03,group_1,0.58327,6.16458,cat_b,type_z,0.01721
RUN_082,2025-09-06,2025-09-20,GR04,group_1,0.56483,6.03809,cat_a,type_z,0.0
RUN_083,2025-09-09,2025-09-23,GR05,group_1,0.58659,6.07154,cat_a,type_z,0.02124
RUN_084,2025-09-12,2025-09-26,GR06,group_2,0.58454,6.11791,cat_a,type_x,0.01339
RUN_085,2025-09-15,2025-09-29,GR01,group_1,0.60443,5.84886,cat_a,type_y,0.02054
RUN_086,2025-09-18,2025-10-02,GR02,group_1,0.60406,6.24123,cat_c,type_y,0.02426
RUN_087,2025-09-21,2025-10-05,GR03,group_2,0.56365,6.1295,cat_a,type_z,0.0
RUN_088,2025-09-24,2025-10-08,GR04,group_1,0.55519,6.27556,cat_b,type_y,0.0
RUN_089,2025-09-27,2025-10-11,GR05,group_3,0.59961,6.29142,cat_a,type_y,0.0276
RUN_090,2025-09-30,2025-10-14,GR06,group_2,0.55221,6.12614,cat_a,type_z,0.0
RUN_091,2025-10-03,2025-10-17,GR01,group_1,0.58274,6.13507,cat_a,type_y,0.02197
RUN_092,2025-10-06,2025-10-20,GR02,group_2,0.59257,6.14915,cat_a,type_x,0.03123
RUN_093,2025-10-09,2025-10-23,GR03,group_2,0.57518,6.31103,cat_b,type_x,0.01591
RUN_094,2025-10-12,2025-10-26,GR04,group_2,0.55346,6.34305,cat_a,type_x,0.0
RUN_095,2025-10-15,2025-10-29,GR05,group_1,0.62155,6.18386,cat_b,type_x,0.02415
RUN_096,2025-10-18,2025-11-01,GR06,group_2,0.55606,6.23771,cat_c,type_y,0.0
RUN_097,2025-10-21,2025-11-04,GR01,group_2,0.58139,6.09971,cat_a,type_x,0.00685
RUN_098,2025-10-24,2025-11-07,GR02,group_3,0.58324,6.13971,cat_a,type_z,0.02133
RUN_099,2025-10-27,2025-11-10,GR03,group_2,0.57496,6.16437,cat_b,type_x,0.00042
RUN_100,2025-10-30,2025-11-13,GR04,group_2,0.60732,6.21769,cat_b,type_x,0.02854
RUN_101,2025-11-02,2025-11-16,GR05,group_1,0.58599,6.37383,cat_a,type_x,0.01945
RUN_102,2025-11-05,2025-11-19,GR06,group_2,0.59798,6.36063,cat_a,type_y,0.03127
RUN_103,2025-11-08,2025-11-22,GR01,group_2,0.58567,6.30617,cat_b,type_x,0.01588
RUN_104,2025-11-11,2025-11-25,GR02,group_3,0.60132,6.32702,cat_b,type_z,0.03077
RUN_105,2025-11-14,2025-11-28,GR03,group_2,0.59837,6.42013,cat_b,type_z,0.02522
RUN_106,2025-11-17,2025-12-01,GR04,group_2,0.57357,6.30405,cat_b,type_x,0.01172
RUN_107,2025-11-20,2025-12-04,GR05,group_2,0.57552,6.33903,cat_c,type_x,0.00502
RUN_108,2025-11-23,2025-12-07,GR06,group_1,0.59886,6.33117,cat_a,type_y,0.0391
RUN_109,2025-11-26,2025-12-10,GR01,group_2,0.60718,6.27807,cat_b,type_z,0.0213
RUN_110,2025-11-29,2025-12-13,GR02,group_2,0.60593,6.41692,cat_a,type_y,0.03877
RUN_111,2025-12-02,2025-12-16,GR03,group_3,0.59642,6.38028,cat_a,type_x,0.03744
RUN_112,2025-12-05,2025-12-19,GR04,group_1,0.62707,6.56117,cat_b,type_y,0.03367
RUN_113,2025-12-08,2025-12-22,GR05,group_2,0.58866,6.2394,cat_a,type_z,0.01691
RUN_114,2025-12-11,2025-12-25,GR06,group_3,0.58444,6.22979,cat_a,type_z,0.02403
RUN_115,2025-12-14,2025-12-28,GR01,group_1,0.57031,6.38006,cat_c,type_x,0.00088
RUN_116,2025-12-17,2025-12-31,GR02,group_3,0.59589,6.4555,cat_b,type_y,0.03279
RUN_117,2025-12-20,2026-01-03,GR03,group_1,0.60109,6.34254,cat_a,type_x,0.02463
RUN_118,2025-12-23,2026-01-06,GR04,group_1,0.60293,6.4166,cat_a,type_z,0.02367
RUN_119,2025-12-26,2026-01-09,GR05,group_1,0.60939,6.59446,cat_b,type_y,0.03332
RUN_120,2025-12-29,2026-01-12,GR06,group_2,0.63277,6.40609,cat_c,type_y,0.02361
