source_run_id,source_category,source_status,source_metric_a,source_metric_b
RUN_022,category_group_b,status_group_b,57.005,63.067
RUN_022,category_group_c,status_group_c,62.209,59.355
RUN_023,category_group_a,status_group_a,50.7,58.231
RUN_023,category_group_b,status_group_b,43.743,53.875
RUN_023,category_group_c,status_group_c,43.273,53.137
RUN_024,category_group_a,status_group_a,43.327,65.545
RUN_024,category_group_b,status_group_b,43.115,65.077
RUN_024,category_group_c,status_group_c,46.88,67.692
RUN_025,category_group_a,status_group_a,61.997,38.733
RUN_025,category_group_b,status_group_b,61.86,34.876
RUN_025,category_group_c,status_group_c,62.698,27.016
RUN_026,category_group_a,status_group_a,54.553,62.967
RUN_026,category_group_b,status_group_b,60.449,58.872
RUN_026,category_group_c,status_group_c,53.075,67.787
RUN_027,category_group_a,status_group_a,46.842,28.079
RUN_027,category_group_b,status_group_b,53.169,37.535
RUN_027,category_group_c,status_group_c,43.173,42.973
RUN_028,category_group_a,status_group_a,55.403,59.425
RUN_028,category_group_b,status_group_b,53.941,56.385
RUN_028,category_group_c,status_group_c,57.299,57.379
RUN_029,category_group_a,status_group_a,42.256,42.038
RUN_029,category_group_b,status_group_b,39.005,26.339
RUN_029,category_group_c,status_group_c,39.817,44.226
RUN_030,category_group_a,status_group_a,47.705,37.857
RUN_030,category_group_b,status_group_b,48.905,33.222
RUN_030,category_group_c,status_group_c,46.915,33.27
RUN_031,category_group_a,status_group_a,58.276,53.035
RUN_031,category_group_b,status_group_b,65.359,50.89
RUN_031,category_group_c,status_group_c,59.745,53.945
RUN_032,category_group_a,status_group_a,65.142,32.685
RUN_032,category_group_b,status_group_b,64.151,28.821
RUN_032,category_group_c,status_group_c,69.982,32.028
RUN_033,category_group_a,status_group_a,57.538,60.03
RUN_033,category_group_b,status_group_b,63.824,61.98
RUN_033,category_group_c,status_group_c,60.058,61.525
RUN_034,category_group_a,status_group_a,59.414,47.716
RUN_034,category_group_b,status_group_b,56.704,52.672
RUN_034,category_group_c,status_group_c,48.624,50.702
RUN_035,category_group_a,status_group_a,61.192,46.451
RUN_035,category_group_b,status_group_b,62.274,47.213
RUN_035,category_group_c,status_group_c,59.322,47.029
RUN_036,category_group_a,status_group_a,50.531,36.842
RUN_036,category_group_b,status_group_b,53.231,45.492
RUN_036,category_group_c,status_group_c,57.785,45.086
RUN_037,category_group_a,status_group_a,62.072,72.315
RUN_037,category_group_b,status_group_b,70.09,71.247
RUN_037,category_group_c,status_group_c,66.336,65.63
RUN_038,category_group_a,status_group_a,51.43,40.783
RUN_038,category_group_b,status_group_b,56.029,45.358
RUN_038,category_group_c,status_group_c,56.994,53.06
RUN_039,category_group_a,status_group_a,80.512,43.369
RUN_039,category_group_b,status_group_b,85.517,43.091
RUN_039,category_group_c,status_group_c,79.973,52.138
RUN_040,category_group_a,status_group_a,70.942,52.961
RUN_040,category_group_b,status_group_b,69.707,54.337
RUN_040,category_group_c,status_group_c,60.863,47.563
RUN_041,category_group_a,status_group_a,76.901,61.001
RUN_041,category_group_b,status_group_b,74.438,61.173
RUN_041,category_group_c,status_group_c,75.285,57.161
RUN_042,category_group_a,status_group_a,88.999,29.693
RUN_042,category_group_b,status_group_b,91.406,27.188
RUN_042,category_group_c,status_group_c,93.922,37.757
RUN_043,category_group_a,status_group_a,75.379,24.616
RUN_043,category_group_b,status_group_b,77.381,38.014
RUN_043,category_group_c,status_group_c,75.044,21.858
RUN_044,category_group_a,status_group_a,70.803,73.167
RUN_044,category_group_b,status_group_b,71.391,70.436
RUN_044,category_group_c,status_group_c,62.467,66.992
RUN_045,category_group_a,status_group_a,70.194,46.623
RUN_045,category_group_b,status_group_b,72.074,45.41
RUN_045,category_group_c,status_group_c,77.422,41.149
RUN_046,category_group_a,status_group_a,67.219,54.98
RUN_046,category_group_b,status_group_b,68.284,56.666
RUN_046,category_group_c,status_group_c,70.624,48.787
RUN_047,category_group_a,status_group_a,75.52,59.813
RUN_047,category_group_b,status_group_b,78.749,70.179
RUN_047,category_group_c,status_group_c,72.074,65.256
RUN_048,category_group_a,status_group_a,64.447,38.214
RUN_048,category_group_b,status_group_b,71.017,38.35
RUN_048,category_group_c,status_group_c,66.785,41.483
RUN_049,category_group_a,status_group_a,78.518,67.759
RUN_049,category_group_b,status_group_b,80.842,74.484
RUN_049,category_group_c,status_group_c,71.351,74.594
RUN_050,category_group_a,status_group_a,65.009,48.632
RUN_050,category_group_b,status_group_b,66.95,48.799
RUN_050,category_group_c,status_group_c,69.341,55.126
RUN_051,category_group_a,status_group_a,54.035,46.288
RUN_051,category_group_b,status_group_b,45.108,54.4
RUN_051,category_group_c,status_group_c,50.139,53.786
RUN_052,category_group_a,status_group_a,65.119,50.064
RUN_052,category_group_b,status_group_b,66.515,49.297
RUN_052,category_group_c,status_group_c,76.715,41.039
RUN_053,category_group_a,status_group_a,69.914,45.627
RUN_053,category_group_b,status_group_b,77.315,50.46
RUN_053,category_group_c,status_group_c,66.018,42.421
RUN_054,category_group_a,status_group_a,72.321,52.526
RUN_054,category_group_b,status_group_b,66.44,54.258
RUN_054,category_group_c,status_group_c,70.89,52.243
RUN_055,category_group_a,status_group_a,58.523,64.09
RUN_055,category_group_b,status_group_b,56.141,51.97
RUN_055,category_group_c,status_group_c,62.158,62.422
RUN_056,category_group_a,status_group_a,54.348,39.779
RUN_056,category_group_b,status_group_b,58.968,38.232
RUN_056,category_group_c,status_group_c,54.973,43.227
RUN_057,category_group_a,status_group_a,60.342,57.544
RUN_057,category_group_b,status_group_b,63.543,73.668
RUN_057,category_group_c,status_group_c,62.48,56.455
RUN_058,category_group_a,status_group_a,56.457,61.494
RUN_058,category_group_b,status_group_b,52.227,54.374
RUN_058,category_group_c,status_group_c,56.492,67.005
RUN_059,category_group_a,status_group_a,48.909,39.366
RUN_059,category_group_b,status_group_b,46.945,42.563
RUN_059,category_group_c,status_group_c,43.994,36.404
RUN_060,category_group_a,status_group_a,70.897,76.435
RUN_060,category_group_b,status_group_b,65.506,65.354
RUN_060,category_group_c,status_group_c,73.905,66.824
RUN_061,category_group_a,status_group_a,49.211,51.824
RUN_061,category_group_b,status_group_b,42.685,46.571
RUN_061,category_group_c,status_group_c,49.179,49.43
RUN_062,category_group_a,status_group_a,57.225,39.377
RUN_062,category_group_b,status_group_b,57.515,41.865
RUN_062,category_group_c,status_group_c,54.803,38.861
RUN_063,category_group_a,status_group_a,54.273,57.003
RUN_063,category_group_b,status_group_b,52.004,75.191
RUN_063,category_group_c,status_group_c,56.456,74.459
RUN_064,category_group_a,status_group_a,67.211,44.182
RUN_064,category_group_b,status_group_b,66.397,46.35
RUN_064,category_group_c,status_group_c,68.602,38.971
RUN_065,category_group_a,status_group_a,59.359,60.674
RUN_065,category_group_b,status_group_b,56.051,66.52
RUN_065,category_group_c,status_group_c,61.397,68.726
RUN_066,category_group_a,status_group_a,52.871,35.579
RUN_066,category_group_b,status_group_b,51.43,41.658
RUN_066,category_group_c,status_group_c,43.317,29.64
RUN_067,category_group_a,status_group_a,62.626,49.315
RUN_067,category_group_b,status_group_b,56.926,59.061
RUN_067,category_group_c,status_group_c,54.505,57.41
RUN_068,category_group_a,status_group_a,61.953,44.022
RUN_068,category_group_b,status_group_b,60.942,47.815
RUN_068,category_group_c,status_group_c,58.357,40.572
RUN_069,category_group_a,status_group_a,56.255,38.993
RUN_069,category_group_b,status_group_b,59.593,36.763
RUN_069,category_group_c,status_group_c,55.384,29.83
RUN_070,category_group_a,status_group_a,37.996,45.922
RUN_070,category_group_b,status_group_b,35.679,38.662
RUN_070,category_group_c,status_group_c,44.166,37.512
RUN_071,category_group_a,status_group_a,55.118,56.863
RUN_071,category_group_b,status_group_b,49.023,61.054
RUN_071,category_group_c,status_group_c,56.586,65.06
RUN_072,category_group_a,status_group_a,37.336,72.969
RUN_072,category_group_b,status_group_b,33.402,70.946
RUN_072,category_group_c,status_group_c,34.596,67.631
RUN_073,category_group_a,status_group_a,40.628,46.014
RUN_073,category_group_b,status_group_b,37.498,45.727
RUN_073,category_group_c,status_group_c,36.365,47.434
RUN_074,category_group_a,status_group_a,38.837,58.825
RUN_074,category_group_b,status_group_b,42.484,50.068
RUN_074,category_group_c,status_group_c,48.358,47.379
RUN_075,category_group_a,status_group_a,34.4,33.11
RUN_075,category_group_b,status_group_b,33.477,31.611
RUN_075,category_group_c,status_group_c,33.779,26.225
RUN_076,category_group_a,status_group_a,52.134,60.474
RUN_076,category_group_b,status_group_b,51.267,66.198
RUN_076,category_group_c,status_group_c,50.08,73.561
RUN_077,category_group_a,status_group_a,42.355,71.511
RUN_077,category_group_b,status_group_b,41.269,71.961
RUN_077,category_group_c,status_group_c,42.5,72.439
RUN_078,category_group_a,status_group_a,35.588,58.78
RUN_078,category_group_b,status_group_b,24.919,57.869
RUN_078,category_group_c,status_group_c,34.192,61.522
RUN_079,category_group_a,status_group_a,27.963,52.768
RUN_079,category_group_b,status_group_b,29.143,56.501
RUN_079,category_group_c,status_group_c,24.395,52.13
RUN_080,category_group_a,status_group_a,35.726,66.954
RUN_080,category_group_b,status_group_b,29.152,57.038
RUN_080,category_group_c,status_group_c,19.722,54.632
RUN_081,category_group_a,status_group_a,6.409,47.864
RUN_081,category_group_b,status_group_b,7.121,48.922
RUN_081,category_group_c,status_group_c,18.807,50.695
RUN_082,category_group_a,status_group_a,7.213,34.219
RUN_082,category_group_b,status_group_b,11.4,29.825
RUN_082,category_group_c,status_group_c,8.377,32.471
RUN_083,category_group_a,status_group_a,17.158,30.844
RUN_083,category_group_b,status_group_b,12.3,28.303
RUN_083,category_group_c,status_group_c,17.018,37.791
RUN_084,category_group_a,status_group_a,18.664,35.539
RUN_084,category_group_b,status_group_b,20.834,43.316
RUN_084,category_group_c,status_group_c,11.416,35.93
RUN_085,category_group_a,status_group_a,28.502,71.32
RUN_085,category_group_b,status_group_b,29.418,78.96
RUN_085,category_group_c,status_group_c,30.347,74.894
RUN_086,category_group_a,status_group_a,17.128,60.579
RUN_086,category_group_b,status_group_b,20.773,59.178
RUN_086,category_group_c,status_group_c,28.03,56.665
RUN_087,category_group_a,status_group_a,30.933,68.086
RUN_087,category_group_b,status_group_b,29.149,66.515
RUN_087,category_group_c,status_group_c,28.521,62.327
RUN_088,category_group_a,status_group_a,6.314,34.606
RUN_088,category_group_b,status_group_b,7.892,36.113
RUN_088,category_group_c,status_group_c,5.29,16.357
RUN_089,category_group_a,status_group_a,2.357,64.227
RUN_089,category_group_b,status_group_b,15.006,58.157
RUN_089,category_group_c,status_group_c,6.361,57.262
RUN_090,category_group_a,status_group_a,25.745,40.994
RUN_090,category_group_b,status_group_b,32.759,46.861
RUN_090,category_group_c,status_group_c,31.433,47.1
RUN_091,category_group_a,status_group_a,23.648,32.22
RUN_091,category_group_b,status_group_b,25.873,33.838
RUN_091,category_group_c,status_group_c,23.892,34.336
RUN_092,category_group_a,status_group_a,14.366,29.301
RUN_092,category_group_b,status_group_b,13.261,23.186
RUN_092,category_group_c,status_group_c,16.129,30.713
RUN_093,category_group_a,status_group_a,29.348,54.649
RUN_093,category_group_b,status_group_b,36.124,60.887
RUN_093,category_group_c,status_group_c,31.742,44.846
RUN_094,category_group_a,status_group_a,31.118,65.964
RUN_094,category_group_b,status_group_b,27.673,64.158
RUN_094,category_group_c,status_group_c,33.835,63.81
RUN_095,category_group_a,status_group_a,18.992,34.5
RUN_095,category_group_b,status_group_b,23.267,31.992
RUN_095,category_group_c,status_group_c,22.179,30.376
RUN_096,category_group_a,status_group_a,24.661,38.465
RUN_096,category_group_b,status_group_b,19.677,37.267
RUN_096,category_group_c,status_group_c,35.237,39.309
RUN_097,category_group_a,status_group_a,26.841,74.516
RUN_097,category_group_b,status_group_b,38.718,75.222
RUN_097,category_group_c,status_group_c,31.412,74.819
RUN_098,category_group_a,status_group_a,24.484,32.98
RUN_098,category_group_b,status_group_b,18.71,38.182
RUN_098,category_group_c,status_group_c,21.446,28.986
RUN_099,category_group_a,status_group_a,24.61,66.84
RUN_099,category_group_b,status_group_b,18.046,67.311
RUN_099,category_group_c,status_group_c,21.601,64.506
RUN_100,category_group_a,status_group_a,26.777,41.933
RUN_100,category_group_b,status_group_b,13.386,40.235
RUN_100,category_group_c,status_group_c,27.359,32.128
RUN_101,category_group_a,status_group_a,15.913,56.148
RUN_101,category_group_b,status_group_b,13.01,62.834
RUN_101,category_group_c,status_group_c,18.355,59.233
RUN_102,category_group_a,status_group_a,35.885,40.41
RUN_102,category_group_b,status_group_b,37.134,49.024
RUN_102,category_group_c,status_group_c,43.076,53.756
RUN_103,category_group_a,status_group_a,20.852,33.794
RUN_103,category_group_b,status_group_b,24.9,33.296
RUN_103,category_group_c,status_group_c,14.761,43.056
RUN_104,category_group_a,status_group_a,31.864,55.182
RUN_104,category_group_b,status_group_b,28.735,57.382
RUN_104,category_group_c,status_group_c,30.626,48.122
RUN_105,category_group_a,status_group_a,16.137,56.74
RUN_105,category_group_b,status_group_b,19.989,65.131
RUN_105,category_group_c,status_group_c,21.823,62.029
RUN_106,category_group_a,status_group_a,20.296,46.443
RUN_106,category_group_b,status_group_b,20.387,45.349
RUN_106,category_group_c,status_group_c,27.599,53.591
RUN_107,category_group_a,status_group_a,38.452,60.639
RUN_107,category_group_b,status_group_b,39.293,52.372
RUN_107,category_group_c,status_group_c,40.48,62.131
RUN_108,category_group_a,status_group_a,30.542,43.395
RUN_108,category_group_b,status_group_b,30.177,56.407
RUN_108,category_group_c,status_group_c,30.503,39.48
RUN_109,category_group_a,status_group_a,35.612,37.412
RUN_109,category_group_b,status_group_b,28.937,43.627
RUN_109,category_group_c,status_group_c,37.509,43.228
RUN_110,category_group_a,status_group_a,29.151,34.999
RUN_110,category_group_b,status_group_b,29.58,43.059
RUN_110,category_group_c,status_group_c,29.95,41.636
RUN_111,category_group_a,status_group_a,31.973,48.457
RUN_111,category_group_b,status_group_b,32.0,42.767
RUN_111,category_group_c,status_group_c,31.022,48.692
RUN_112,category_group_a,status_group_a,34.517,55.883
RUN_112,category_group_b,status_group_b,40.158,55.586
RUN_112,category_group_c,status_group_c,37.587,61.348
RUN_113,category_group_a,status_group_a,24.987,31.103
RUN_113,category_group_b,status_group_b,29.848,31.813
RUN_113,category_group_c,status_group_c,24.51,34.701
RUN_114,category_group_a,status_group_a,33.604,36.073
RUN_114,category_group_b,status_group_b,31.39,41.164
RUN_114,category_group_c,status_group_c,36.052,46.38
RUN_115,category_group_a,status_group_a,28.587,44.343
RUN_115,category_group_b,status_group_b,24.882,53.184
RUN_115,category_group_c,status_group_c,36.272,53.948
RUN_116,category_group_a,status_group_a,28.387,41.835
RUN_116,category_group_b,status_group_b,28.236,43.475
RUN_116,category_group_c,status_group_c,25.308,42.831
RUN_117,category_group_a,status_group_a,37.747,44.633
RUN_117,category_group_b,status_group_b,24.194,54.502
RUN_117,category_group_c,status_group_c,31.031,49.917
RUN_118,category_group_a,status_group_a,36.941,25.377
RUN_118,category_group_b,status_group_b,36.733,31.289
RUN_118,category_group_c,status_group_c,31.144,26.166
RUN_119,category_group_a,status_group_a,36.767,74.958
RUN_119,category_group_b,status_group_b,34.202,67.477
RUN_119,category_group_c,status_group_c,32.593,70.405
RUN_120,category_group_a,status_group_a,58.14,61.727
RUN_120,category_group_b,status_group_b,59.418,55.955
RUN_120,category_group_c,status_group_c,54.898,51.846
