PC,Rank,Feature,cos2
PC2,18,feature_1_block_median_WINDOW_1,0.07264297277186427
PC2,19,feature_1_block_median_WINDOW_2,0.058424268084393424
PC2,20,feature_7_slope_WINDOW_3,0.051912537957645215
PC3,1,feature_6_resid_std_WINDOW_1,0.4422472589761423
PC3,2,feature_6_resid_std_WINDOW_3,0.439962346672317
PC3,3,feature_6_resid_std_WINDOW_2,0.43990749795328143
PC3,4,feature_6_lag1_autocorr_WINDOW_3,0.3911625203647511
PC3,5,feature_3_median_WINDOW_1,0.3884395752475328
PC3,6,feature_6_lag1_autocorr_WINDOW_2,0.341733813882666
PC3,7,feature_3_median_WINDOW_3,0.33388035737759414
PC3,8,feature_3_median_WINDOW_2,0.32077238253446205
PC3,9,feature_5_median_WINDOW_1,0.2649652098568123
PC3,10,feature_5_median_WINDOW_3,0.23119730259266197
PC3,11,feature_5_median_WINDOW_2,0.20283045116997647
PC3,12,feature_6_lag1_autocorr_WINDOW_1,0.12554530287374036
PC3,13,feature_7_slope_WINDOW_2,0.1162495087030505
PC3,14,feature_1_block_resid_std_WINDOW_1,0.11514383013077491
PC3,15,feature_6_slope_WINDOW_2,0.10001492658852966
PC3,16,feature_7_slope_WINDOW_1,0.09938111319435323
PC3,17,feature_7_resid_std_WINDOW_1,0.09915236263161747
PC3,18,feature_7_resid_std_WINDOW_2,0.09883059027497412
PC3,19,feature_7_resid_std_WINDOW_3,0.09793681638023208
PC3,20,feature_1_block_dominant_freq_WINDOW_2,0.0957835916031898
PC4,1,feature_7_resid_std_WINDOW_2,0.2589493440109978
PC4,2,feature_7_resid_std_WINDOW_3,0.25431273672009336
PC4,3,feature_7_resid_std_WINDOW_1,0.2526631364323538
PC4,4,feature_7_slope_WINDOW_1,0.2480438104391458
PC4,5,feature_3_median_WINDOW_2,0.22937471765205142
PC4,6,feature_3_median_WINDOW_1,0.21064782219187206
PC4,7,feature_7_slope_WINDOW_2,0.2025882967542171
PC4,8,feature_3_median_WINDOW_3,0.18803654852157253
PC4,9,feature_5_median_WINDOW_3,0.18627927491961724
PC4,10,feature_5_median_WINDOW_1,0.16817120677457167
PC4,11,feature_5_resid_std_WINDOW_3,0.16689407905066894
PC4,12,feature_5_median_WINDOW_2,0.15382967310150047
PC4,13,feature_5_lag1_autocorr_WINDOW_3,0.13564004975295438
PC4,14,feature_7_slope_WINDOW_3,0.11357170187000243
PC4,15,feature_1_block_median_WINDOW_1,0.10426775365011368
PC4,16,feature_1_block_resid_std_WINDOW_3,0.09946188473185293
PC4,17,feature_5_dominant_freq_WINDOW_3,0.08064001164822737
PC4,18,feature_6_resid_std_WINDOW_3,0.06380439615094652
PC4,19,feature_6_resid_std_WINDOW_2,0.05947623168997418
PC4,20,feature_1_block_median_WINDOW_2,0.05941520009174887
PC5,1,feature_5_lag1_autocorr_WINDOW_2,0.2576505896020487
PC5,2,feature_7_lag1_autocorr_WINDOW_3,0.2505184449257735
PC5,3,feature_1_block_lag1_autocorr_WINDOW_1,0.2204924135268377
PC5,4,feature_7_lag1_autocorr_WINDOW_2,0.18535702828982178
PC5,5,feature_5_resid_std_WINDOW_2,0.137198434778453
PC5,6,feature_5_dominant_freq_WINDOW_2,0.13169177717030425
PC5,7,feature_1_block_resid_std_WINDOW_1,0.12909630692863733
PC5,8,feature_3_dominant_freq_WINDOW_1,0.11942612701405417
PC5,9,feature_3_lag1_autocorr_WINDOW_2,0.10922128731875237
PC5,10,feature_5_dominant_freq_WINDOW_1,0.10758769018784806
PC5,11,feature_1_block_lag1_autocorr_WINDOW_3,0.10011808818183854
PC5,12,feature_1_block_resid_std_WINDOW_2,0.09066594201612632
PC5,13,feature_5_dominant_freq_WINDOW_3,0.07796526243422869
PC5,14,feature_3_lag1_autocorr_WINDOW_1,0.07540402330592373
PC5,15,feature_1_block_dominant_freq_WINDOW_2,0.07446496251443818
PC5,16,feature_3_lag1_autocorr_WINDOW_3,0.07238451803295741
PC5,17,feature_1_block_dominant_freq_WINDOW_1,0.06553465394857305
PC5,18,feature_6_dominant_freq_WINDOW_2,0.06524651609101165
PC5,19,feature_1_block_lag1_autocorr_WINDOW_2,0.05603290887277245
PC5,20,feature_6_slope_WINDOW_1,0.05562594268619986
PC6,1,feature_5_resid_std_WINDOW_1,0.22241698358239537
PC6,2,feature_3_slope_WINDOW_2,0.1620206578359604
PC6,3,feature_5_dominant_freq_WINDOW_1,0.14059168346137554
PC6,4,feature_3_lag1_autocorr_WINDOW_2,0.1357000537769838
PC6,5,feature_6_dominant_freq_WINDOW_3,0.13266314207479163
PC6,6,feature_5_resid_std_WINDOW_2,0.13116162966918368
PC6,7,feature_3_resid_std_WINDOW_3,0.12064496104194819
PC6,8,feature_3_slope_WINDOW_1,0.11804516939655674
PC6,9,feature_5_dominant_freq_WINDOW_2,0.09716686528094048
PC6,10,feature_1_block_lag1_autocorr_WINDOW_3,0.09701760739767655
PC6,11,feature_1_block_resid_std_WINDOW_2,0.09522201280952622
PC6,12,feature_7_lag1_autocorr_WINDOW_1,0.09105188448239547
PC6,13,feature_1_block_dominant_freq_WINDOW_2,0.0876954449741157
PC6,14,feature_6_dominant_freq_WINDOW_1,0.08760414815113997
PC6,15,feature_3_resid_std_WINDOW_2,0.07754150828300271
PC6,16,feature_5_slope_WINDOW_1,0.07148357895242503
PC6,17,feature_3_resid_std_WINDOW_1,0.061858060154814425
PC6,18,feature_3_median_WINDOW_2,0.06119733458709497
PC6,19,feature_3_median_WINDOW_3,0.05906689917308727
PC6,20,feature_5_slope_WINDOW_3,0.05109572475437357
PC7,1,feature_5_dominant_freq_WINDOW_3,0.18663780083424772
PC7,2,feature_6_dominant_freq_WINDOW_1,0.18354477404959837
PC7,3,feature_6_slope_WINDOW_3,0.18225918689868187
PC7,4,feature_1_block_resid_std_WINDOW_3,0.17365581915555675
PC7,5,feature_1_block_dominant_freq_WINDOW_1,0.16692345665772054
PC7,6,feature_3_slope_WINDOW_1,0.15966661130076779
PC7,7,feature_5_resid_std_WINDOW_3,0.14953292816000194
PC7,8,feature_1_block_resid_std_WINDOW_1,0.1300373773199498
PC7,9,feature_3_slope_WINDOW_3,0.1183276888959395
PC7,10,feature_3_dominant_freq_WINDOW_1,0.0924939885385706
PC7,11,feature_1_block_dominant_freq_WINDOW_3,0.0911575170636216
PC7,12,feature_5_lag1_autocorr_WINDOW_1,0.0896740487018789
PC7,13,feature_3_lag1_autocorr_WINDOW_1,0.06919507969603043
PC7,14,feature_6_dominant_freq_WINDOW_2,0.062245738961575425
PC7,15,feature_3_resid_std_WINDOW_1,0.06100072633744029
PC7,16,feature_3_lag1_autocorr_WINDOW_3,0.05728703347624529
PC7,17,feature_6_dominant_freq_WINDOW_3,0.05262664196117862
PC7,18,feature_5_dominant_freq_WINDOW_2,0.04278071064000526
PC7,19,feature_6_slope_WINDOW_1,0.039711465175200626
PC7,20,feature_1_block_lag1_autocorr_WINDOW_3,0.03592582088464688
PC8,1,feature_3_slope_WINDOW_3,0.31564909431797356
PC8,2,feature_1_block_lag1_autocorr_WINDOW_2,0.30440323600112296
PC8,3,feature_3_lag1_autocorr_WINDOW_3,0.2705762556016114
PC8,4,feature_5_slope_WINDOW_3,0.157615203582252
PC8,5,feature_3_resid_std_WINDOW_3,0.13699816700367784
PC8,6,feature_7_lag1_autocorr_WINDOW_3,0.12680426646088552
PC8,7,feature_1_block_lag1_autocorr_WINDOW_3,0.08746983288580015
PC8,8,feature_6_slope_WINDOW_1,0.0583680579728677
PC8,9,feature_6_dominant_freq_WINDOW_1,0.057420153305598756
PC8,10,feature_7_slope_WINDOW_3,0.05429931106123453
PC8,11,feature_5_slope_WINDOW_2,0.05241776007986714
PC8,12,feature_1_block_dominant_freq_WINDOW_2,0.04818936032293719
PC8,13,feature_1_block_slope_WINDOW_2,0.040080985142556536
PC8,14,feature_5_dominant_freq_WINDOW_3,0.03835840087918497
PC8,15,feature_5_dominant_freq_WINDOW_1,0.03815313712987949
PC8,16,feature_1_block_resid_std_WINDOW_2,0.03586208604975463
PC8,17,feature_5_dominant_freq_WINDOW_2,0.02645514232706163
PC8,18,feature_6_dominant_freq_WINDOW_2,0.0262994663161561
PC8,19,feature_6_lag1_autocorr_WINDOW_3,0.024112732728478924
PC8,20,feature_3_dominant_freq_WINDOW_1,0.021685333719714896
PC9,1,feature_5_dominant_freq_WINDOW_2,0.2046056002874125
PC9,2,feature_3_dominant_freq_WINDOW_1,0.182316003415224
PC9,3,feature_3_resid_std_WINDOW_3,0.12457563740787451
PC9,4,feature_1_block_dominant_freq_WINDOW_2,0.11075098041533946
PC9,5,feature_3_resid_std_WINDOW_1,0.1047769242416479
PC9,6,feature_5_lag1_autocorr_WINDOW_2,0.10296943383215888
PC9,7,feature_1_block_lag1_autocorr_WINDOW_3,0.10078006506654416
PC9,8,feature_5_resid_std_WINDOW_2,0.08297351185421419
PC9,9,feature_5_slope_WINDOW_3,0.08037831420776159
PC9,10,feature_3_dominant_freq_WINDOW_3,0.0800393770330956
PC9,11,feature_6_slope_WINDOW_1,0.07617268164044172
PC9,12,feature_5_lag1_autocorr_WINDOW_3,0.07262786313828268
PC9,13,feature_5_resid_std_WINDOW_3,0.0720182712606245
PC9,14,feature_1_block_resid_std_WINDOW_3,0.07190334017479964
PC9,15,feature_1_block_dominant_freq_WINDOW_3,0.06417020543144446
PC9,16,feature_3_lag1_autocorr_WINDOW_3,0.06281012891810042
PC9,17,feature_5_dominant_freq_WINDOW_3,0.04989835887257009
PC9,18,feature_7_lag1_autocorr_WINDOW_2,0.04622866538565735
PC9,19,feature_1_block_resid_std_WINDOW_2,0.044309022578107406
PC9,20,feature_3_lag1_autocorr_WINDOW_2,0.03756069000871391
PC10,1,feature_3_dominant_freq_WINDOW_2,0.2661934861854899
PC10,2,feature_3_resid_std_WINDOW_2,0.21267531910970935
PC10,3,feature_1_block_dominant_freq_WINDOW_3,0.18777015957487414
PC10,4,feature_1_block_lag1_autocorr_WINDOW_2,0.14722132108816027
PC10,5,feature_1_block_resid_std_WINDOW_2,0.13883221770983387
PC10,6,feature_3_slope_WINDOW_2,0.09913530697849407
PC10,7,feature_5_resid_std_WINDOW_3,0.09742988036942812
PC10,8,feature_6_slope_WINDOW_3,0.0700990574651898
PC10,9,feature_3_lag1_autocorr_WINDOW_2,0.06694363791273945
PC10,10,feature_7_lag1_autocorr_WINDOW_2,0.0660609535275523
PC10,11,feature_5_dominant_freq_WINDOW_3,0.06055255823076102
PC10,12,feature_1_block_resid_std_WINDOW_3,0.060221628639979374
PC10,13,feature_6_dominant_freq_WINDOW_2,0.05605616669244428
PC10,14,feature_1_block_lag1_autocorr_WINDOW_1,0.04082260836498399
PC10,15,feature_7_lag1_autocorr_WINDOW_1,0.03797184293167975
PC10,16,feature_3_slope_WINDOW_3,0.03744582090899522
PC10,17,feature_6_lag1_autocorr_WINDOW_1,0.030432716882272715
PC10,18,feature_5_lag1_autocorr_WINDOW_1,0.022974526123757368
PC10,19,feature_5_resid_std_WINDOW_1,0.02270621913958398
PC10,20,feature_6_slope_WINDOW_1,0.021875019327423542
PC11,1,feature_5_resid_std_WINDOW_1,0.24485630441732706
PC11,2,feature_6_dominant_freq_WINDOW_2,0.20439884842420797
PC11,3,feature_6_dominant_freq_WINDOW_3,0.17753483944926798
PC11,4,feature_5_dominant_freq_WINDOW_1,0.10635721383593767
PC11,5,feature_5_slope_WINDOW_1,0.10144607975464628
PC11,6,feature_5_dominant_freq_WINDOW_3,0.08004994250010823
PC11,7,feature_6_dominant_freq_WINDOW_1,0.06956736427321893
PC11,8,feature_6_lag1_autocorr_WINDOW_1,0.06642034621141474
PC11,9,feature_1_block_dominant_freq_WINDOW_3,0.06329209423246046
PC11,10,feature_1_block_slope_WINDOW_1,0.061902488742361025
PC11,11,feature_5_lag1_autocorr_WINDOW_3,0.0525224851710136
PC11,12,feature_5_lag1_autocorr_WINDOW_1,0.05189286742879613
PC11,13,feature_3_lag1_autocorr_WINDOW_3,0.05043358763836543
PC11,14,feature_1_block_dominant_freq_WINDOW_1,0.04894674035350519
PC11,15,feature_3_slope_WINDOW_2,0.03999150776984574
PC11,16,feature_3_lag1_autocorr_WINDOW_1,0.03905618945697425
PC11,17,feature_1_block_median_WINDOW_1,0.0386838627696002
PC11,18,feature_1_block_slope_WINDOW_3,0.037469980378266064
PC11,19,feature_5_resid_std_WINDOW_3,0.03399193982606496
PC11,20,feature_7_lag1_autocorr_WINDOW_3,0.03009591306908873
PC12,1,feature_3_dominant_freq_WINDOW_3,0.18282683864797913
PC12,2,feature_3_resid_std_WINDOW_1,0.17372857038592396
PC12,3,feature_3_resid_std_WINDOW_3,0.14061159149408115
PC12,4,feature_5_lag1_autocorr_WINDOW_1,0.1122455192443448
PC12,5,feature_5_slope_WINDOW_2,0.1046663722168231
PC12,6,feature_1_block_median_WINDOW_1,0.10206532540103476
PC12,7,feature_3_dominant_freq_WINDOW_1,0.07917962637701517
PC12,8,feature_5_dominant_freq_WINDOW_2,0.07627008529817257
PC12,9,feature_5_resid_std_WINDOW_3,0.07078661648237179
PC12,10,feature_1_block_dominant_freq_WINDOW_3,0.0665313181384606
PC12,11,feature_1_block_slope_WINDOW_1,0.05942381369850845
PC12,12,feature_7_lag1_autocorr_WINDOW_2,0.05626282306894712
PC12,13,feature_1_block_dominant_freq_WINDOW_1,0.05576893963622316
PC12,14,feature_3_slope_WINDOW_3,0.049027808018970394
PC12,15,feature_5_slope_WINDOW_1,0.04622174085399696
PC12,16,feature_1_block_lag1_autocorr_WINDOW_1,0.043278149780486094
PC12,17,feature_6_dominant_freq_WINDOW_2,0.032647304363372945
PC12,18,feature_3_lag1_autocorr_WINDOW_1,0.031035597651378567
PC12,19,feature_1_block_median_WINDOW_2,0.030549980975798165
PC12,20,feature_3_lag1_autocorr_WINDOW_2,0.02967758626836147
PC13,1,feature_6_slope_WINDOW_3,0.2238303805821163
PC13,2,feature_3_slope_WINDOW_1,0.1814558441799504
PC13,3,feature_5_slope_WINDOW_2,0.1649340966533209
PC13,4,feature_3_slope_WINDOW_2,0.1375196447150651
PC13,5,feature_5_resid_std_WINDOW_2,0.09425512410386175
PC13,6,feature_5_slope_WINDOW_1,0.06810351504216453
PC13,7,feature_1_block_median_WINDOW_1,0.055491817756574933
PC13,8,feature_7_slope_WINDOW_3,0.04823695106547542
PC13,9,feature_6_dominant_freq_WINDOW_1,0.0459941271091096
PC13,10,feature_6_dominant_freq_WINDOW_2,0.04482743308857245
PC13,11,feature_5_lag1_autocorr_WINDOW_3,0.043967011420779155
PC13,12,feature_5_slope_WINDOW_3,0.03971837296913088
PC13,13,feature_3_lag1_autocorr_WINDOW_1,0.03855938643763199
PC13,14,feature_6_lag1_autocorr_WINDOW_2,0.035109788979181544
PC13,15,feature_5_dominant_freq_WINDOW_3,0.028139835071719146
PC13,16,feature_1_block_median_WINDOW_2,0.024392338482474758
PC13,17,feature_5_dominant_freq_WINDOW_1,0.023600300939906112
PC13,18,feature_1_block_slope_WINDOW_1,0.022631528479185346
PC13,19,feature_5_lag1_autocorr_WINDOW_1,0.021734126876050287
PC13,20,feature_6_lag1_autocorr_WINDOW_1,0.02171126296579292
PC14,1,feature_1_block_resid_std_WINDOW_1,0.1319993654195587
PC14,2,feature_3_dominant_freq_WINDOW_3,0.11457091814765309
PC14,3,feature_5_slope_WINDOW_2,0.10789005602257183
PC14,4,feature_5_slope_WINDOW_3,0.1066318750990941
PC14,5,feature_6_slope_WINDOW_2,0.09682556096013357
PC14,6,feature_3_slope_WINDOW_2,0.06982645489902403
PC14,7,feature_7_lag1_autocorr_WINDOW_1,0.06345064749940721
PC14,8,feature_1_block_lag1_autocorr_WINDOW_3,0.058918893307635736
PC14,9,feature_6_dominant_freq_WINDOW_1,0.05496835971264358
PC14,10,feature_1_block_slope_WINDOW_3,0.05479251533306313
PC14,11,feature_5_slope_WINDOW_1,0.05365421496443353
PC14,12,feature_3_lag1_autocorr_WINDOW_2,0.05357568708818579
PC14,13,feature_3_slope_WINDOW_1,0.051443244227102176
PC14,14,feature_6_slope_WINDOW_1,0.04479919060510402
PC14,15,feature_3_resid_std_WINDOW_3,0.04234378179749459
PC14,16,feature_3_slope_WINDOW_3,0.0419684644144864
PC14,17,feature_1_block_resid_std_WINDOW_2,0.03683398398099065
PC14,18,feature_3_resid_std_WINDOW_1,0.03580147712995365
PC14,19,feature_1_block_slope_WINDOW_1,0.02930714328339299
PC14,20,feature_1_block_lag1_autocorr_WINDOW_2,0.028321374928710976
PC15,1,feature_7_lag1_autocorr_WINDOW_1,0.1803076184675874
PC15,2,feature_1_block_resid_std_WINDOW_2,0.1584505331065974
PC15,3,feature_5_slope_WINDOW_2,0.1421983801372603
PC15,4,feature_1_block_slope_WINDOW_1,0.11396592609133956
PC15,5,feature_3_slope_WINDOW_1,0.09417523344177046
PC15,6,feature_5_lag1_autocorr_WINDOW_1,0.08433167195705105
PC15,7,feature_3_dominant_freq_WINDOW_1,0.0789957535352432
PC15,8,feature_1_block_dominant_freq_WINDOW_2,0.07170284776787236
PC15,9,feature_3_lag1_autocorr_WINDOW_3,0.05932233538811212
PC15,10,feature_3_resid_std_WINDOW_2,0.051825594075561136
PC15,11,feature_1_block_dominant_freq_WINDOW_1,0.042857648024541874
PC15,12,feature_3_resid_std_WINDOW_3,0.0393142201987377
PC15,13,feature_7_slope_WINDOW_3,0.03302458416067675
PC15,14,feature_6_dominant_freq_WINDOW_2,0.030645827809688008
PC15,15,feature_3_dominant_freq_WINDOW_3,0.029427197184266694
PC15,16,feature_3_dominant_freq_WINDOW_2,0.02531583144020334
PC15,17,feature_3_lag1_autocorr_WINDOW_2,0.019860398938118338
PC15,18,feature_7_slope_WINDOW_2,0.019230604602654838
PC15,19,feature_3_slope_WINDOW_3,0.01900763882389543
PC15,20,feature_6_lag1_autocorr_WINDOW_2,0.018330798256395067
PC16,1,feature_6_dominant_freq_WINDOW_3,0.1790083812150275
PC16,2,feature_5_dominant_freq_WINDOW_1,0.12570340480385472
PC16,3,feature_6_slope_WINDOW_2,0.12258646623138957
PC16,4,feature_3_lag1_autocorr_WINDOW_1,0.11404351648808618
PC16,5,feature_6_dominant_freq_WINDOW_1,0.09955953866722163
PC16,6,feature_6_slope_WINDOW_1,0.09406287697326139
PC16,7,feature_1_block_dominant_freq_WINDOW_1,0.07064334714034218
PC16,8,feature_5_resid_std_WINDOW_1,0.04533019929236278
PC16,9,feature_5_slope_WINDOW_1,0.04395099665568722
PC16,10,feature_1_block_slope_WINDOW_2,0.03955862318886175
PC16,11,feature_1_block_median_WINDOW_1,0.03522576397428669
PC16,12,feature_1_block_dominant_freq_WINDOW_2,0.034405112143503246
PC16,13,feature_5_dominant_freq_WINDOW_3,0.03218407007739967
PC16,14,feature_1_block_slope_WINDOW_3,0.030780517357486107
PC16,15,feature_3_lag1_autocorr_WINDOW_2,0.03038635586728439
PC16,16,feature_3_slope_WINDOW_1,0.0290366317893324
PC16,17,feature_6_lag1_autocorr_WINDOW_3,0.024801660615319458
PC16,18,feature_3_resid_std_WINDOW_2,0.02394202805175997
PC16,19,feature_3_dominant_freq_WINDOW_2,0.021961811768784274
PC16,20,feature_6_dominant_freq_WINDOW_2,0.018678193285066813
PC17,1,feature_5_slope_WINDOW_3,0.1472055444322309
PC17,2,feature_1_block_dominant_freq_WINDOW_1,0.11880656951657598
PC17,3,feature_7_lag1_autocorr_WINDOW_1,0.10255021988631649
PC17,4,feature_5_lag1_autocorr_WINDOW_3,0.10166343211687486
PC17,5,feature_3_slope_WINDOW_2,0.06952902555570378
PC17,6,feature_3_slope_WINDOW_1,0.06190288031723484
PC17,7,feature_1_block_lag1_autocorr_WINDOW_1,0.05928620321420321
PC17,8,feature_5_lag1_autocorr_WINDOW_1,0.05746081033036686
PC17,9,feature_3_dominant_freq_WINDOW_1,0.05743852945067085
PC17,10,feature_6_slope_WINDOW_1,0.05530481319351147
PC17,11,feature_1_block_lag1_autocorr_WINDOW_2,0.04507680920097382
PC17,12,feature_6_dominant_freq_WINDOW_3,0.04261924297537345
PC17,13,feature_3_resid_std_WINDOW_1,0.040639766653566625
PC17,14,feature_1_block_resid_std_WINDOW_1,0.030964376572691608
PC17,15,feature_5_slope_WINDOW_1,0.022545255694110783
PC17,16,feature_7_lag1_autocorr_WINDOW_2,0.01837656201694953
PC17,17,feature_6_lag1_autocorr_WINDOW_1,0.01836933120259331
PC17,18,feature_5_lag1_autocorr_WINDOW_2,0.018099633774643163
PC17,19,feature_6_slope_WINDOW_2,0.017576397377344795
PC17,20,feature_1_block_resid_std_WINDOW_3,0.017140059707593847
PC18,1,feature_5_dominant_freq_WINDOW_1,0.14045081398637269
PC18,2,feature_5_lag1_autocorr_WINDOW_2,0.12364122299142068
PC18,3,feature_6_dominant_freq_WINDOW_2,0.09486316832294225
PC18,4,feature_7_lag1_autocorr_WINDOW_2,0.07753641485332434
PC18,5,feature_3_dominant_freq_WINDOW_3,0.07432261041285453
PC18,6,feature_5_slope_WINDOW_1,0.06456534323018315
PC18,7,feature_5_dominant_freq_WINDOW_2,0.05907327691966938
PC18,8,feature_1_block_resid_std_WINDOW_1,0.0520457365866697
PC18,9,feature_3_lag1_autocorr_WINDOW_1,0.05003636122798523
PC18,10,feature_5_lag1_autocorr_WINDOW_3,0.04353404634324002
PC18,11,feature_1_block_dominant_freq_WINDOW_2,0.04199245966575038
PC18,12,feature_7_slope_WINDOW_3,0.03868365785352269
PC18,13,feature_5_slope_WINDOW_3,0.029782823415108267
PC18,14,feature_3_slope_WINDOW_1,0.027377164490505482
PC18,15,feature_5_resid_std_WINDOW_1,0.023832291725472465
PC18,16,feature_1_block_dominant_freq_WINDOW_1,0.023381850982886327
PC18,17,feature_3_resid_std_WINDOW_1,0.022966677423185228
PC18,18,feature_1_block_lag1_autocorr_WINDOW_2,0.01988593492220074
PC18,19,feature_1_block_resid_std_WINDOW_3,0.017951872902034323
PC18,20,feature_1_block_lag1_autocorr_WINDOW_1,0.01776317127937376
PC19,1,feature_3_dominant_freq_WINDOW_2,0.22792061663257535
PC19,2,feature_7_slope_WINDOW_3,0.104654281459666
PC19,3,feature_7_lag1_autocorr_WINDOW_2,0.09241644349979021
PC19,4,feature_7_lag1_autocorr_WINDOW_3,0.07169718631540135
PC19,5,feature_3_resid_std_WINDOW_2,0.06565592404029837
PC19,6,feature_5_resid_std_WINDOW_2,0.06377063260529575
PC19,7,feature_1_block_dominant_freq_WINDOW_2,0.05217353790031942
PC19,8,feature_1_block_resid_std_WINDOW_1,0.03589309137266898
PC19,9,feature_5_dominant_freq_WINDOW_3,0.03564843647025668
PC19,10,feature_7_lag1_autocorr_WINDOW_1,0.03510511314662881
PC19,11,feature_5_lag1_autocorr_WINDOW_3,0.03392984984716136
PC19,12,feature_3_lag1_autocorr_WINDOW_1,0.02626628317698236
PC19,13,feature_5_lag1_autocorr_WINDOW_1,0.023941859528754852
PC19,14,feature_1_block_dominant_freq_WINDOW_1,0.02316279597019999
PC19,15,feature_5_resid_std_WINDOW_1,0.019302260478227178
PC19,16,feature_5_lag1_autocorr_WINDOW_2,0.01858190187544316
PC19,17,feature_1_block_resid_std_WINDOW_2,0.016923546241549244
PC19,18,feature_5_dominant_freq_WINDOW_2,0.016677987301400615
PC19,19,feature_6_slope_WINDOW_2,0.015845722046042822
PC19,20,feature_1_block_lag1_autocorr_WINDOW_3,0.014342501425306731
PC20,1,feature_6_lag1_autocorr_WINDOW_1,0.06783174015523477
PC20,2,feature_7_slope_WINDOW_3,0.061477387434365274
PC20,3,feature_6_slope_WINDOW_2,0.0592009151324004
PC20,4,feature_3_resid_std_WINDOW_2,0.05557420925957066
PC20,5,feature_1_block_lag1_autocorr_WINDOW_2,0.053310158743047856
PC20,6,feature_5_resid_std_WINDOW_2,0.05214537324878646
PC20,7,feature_1_block_slope_WINDOW_2,0.04978858871108672
PC20,8,feature_3_lag1_autocorr_WINDOW_1,0.045727378171520276
PC20,9,feature_5_lag1_autocorr_WINDOW_2,0.04225856784117414
PC20,10,feature_3_median_WINDOW_1,0.04039887564369214
PC20,11,feature_3_slope_WINDOW_2,0.04004305157410756
PC20,12,feature_5_slope_WINDOW_1,0.03991882323294995
PC20,13,feature_1_block_lag1_autocorr_WINDOW_1,0.0395002631572985
PC20,14,feature_3_median_WINDOW_2,0.03949678828319641
PC20,15,feature_3_slope_WINDOW_1,0.03370759650407927
PC20,16,feature_3_lag1_autocorr_WINDOW_2,0.03244576970166011
PC20,17,feature_5_median_WINDOW_3,0.027171485661666137
PC20,18,feature_5_slope_WINDOW_3,0.026071484558131987
PC20,19,feature_7_lag1_autocorr_WINDOW_2,0.02475889775877703
PC20,20,feature_5_slope_WINDOW_2,0.02428377795935156
PC21,1,feature_6_slope_WINDOW_1,0.1378265056463338
PC21,2,feature_6_slope_WINDOW_3,0.08203333343563408
PC21,3,feature_5_lag1_autocorr_WINDOW_1,0.08113142316025299
PC21,4,feature_7_slope_WINDOW_3,0.07194625365932353
PC21,5,feature_5_lag1_autocorr_WINDOW_3,0.0701819295691028
PC21,6,feature_3_lag1_autocorr_WINDOW_2,0.06969962062959453
PC21,7,feature_1_block_lag1_autocorr_WINDOW_1,0.059158953587600045
PC21,8,feature_5_slope_WINDOW_3,0.05094439851420579
PC21,9,feature_1_block_lag1_autocorr_WINDOW_3,0.04699977240791644
